UTC	Local	fline_area_km2	fperim_area_km2	nfp_area_km2	fline	fperim	nfp	u_mean	v_mean	ws_mean	wd_mean	d2m	lh	lw	m1	m10	m100	sp	t2m	tp	230evt	230fbfm13	230fbfm40	240roads_23	adj	asp2020	cbd	cbh	cc	ch	elev2020	slpd2020	mean_rh	vpd
2021-08-16 17:00:00	2021-08-16 09:00:00							1.027562	-0.089665	1.031467	274.987008	4.360468	38.795254	65.596977	5.804606	6.490692	6.537543	84371.132812	30.334741	0.006686													19.285213	3.491088
2021-08-16 17:30:00	2021-08-16 09:30:00																																	
2021-08-16 18:00:00	2021-08-16 10:00:00							1.782887	1.032691	2.060373	239.919548	3.771173	38.795254	65.596977	5.185098	6.316895	6.518232	84349.296875	31.754816	0.006763													17.065592	3.889037
2021-08-16 18:30:00	2021-08-16 10:30:00																																	
2021-08-16 19:00:00	2021-08-16 11:00:00							3.758977	0.257796	3.767807	266.076724	3.257013	38.795254	65.596977	4.732450	6.132987	6.496312	84354.093750	32.125513	0.006763													16.115351	4.016903
2021-08-16 19:30:00	2021-08-16 11:30:00																																	
2021-08-16 20:00:00	2021-08-16 12:00:00							5.661857	0.905295	5.733775	260.915668	3.375269	38.795254	65.596977	4.479555	5.960887	6.474086	84337.695312	32.591577	0.006763													15.829513	4.137864
2021-08-16 20:30:00	2021-08-16 12:30:00																																	
2021-08-16 21:00:00	2021-08-16 13:00:00							5.525743	0.840862	5.589355	261.347585	3.967737	38.795254	65.596977	4.312474	5.796988	6.451283	84293.101562	32.294611	0.027671													16.783841	4.023092
2021-08-16 21:30:00	2021-08-16 13:30:00	5.400000	18.450000	6.300000	60.000000	205.000000	70.000000																											
2021-08-16 22:00:00	2021-08-16 14:00:00							4.972980	1.522165	5.200723	252.981325	4.469141	38.795254	65.596977	4.299912	5.660702	6.430093	84291.890625	31.888605	0.029757													17.788837	3.884417
2021-08-16 22:30:00	2021-08-16 14:30:00																																	
2021-08-16 23:00:00	2021-08-16 15:00:00							5.961217	1.566607	6.163633	255.275629	4.927545	38.795254	65.596977	4.332933	5.543816	6.409880	84228.929688	31.732782	0.032235													18.531416	3.815537
2021-08-16 23:30:00	2021-08-16 15:30:00																																	
2021-08-17 00:00:00	2021-08-16 16:00:00							4.831420	1.352419	5.017136	254.361916	5.482111	38.002647	65.092590	4.599167	5.482572	6.394755	84229.882812	30.759821	0.032232													20.356567	3.529419
2021-08-17 00:30:00	2021-08-16 16:30:00																																	
2021-08-17 01:00:00	2021-08-16 17:00:00							4.062328	1.988375	4.522847	243.919785	6.140924	38.002647	65.092590	4.876400	5.452878	6.382602	84177.039062	29.528253	0.000000													22.865964	3.185325
2021-08-17 01:30:00	2021-08-16 17:30:00																																	
2021-08-17 02:00:00	2021-08-16 18:00:00							2.745774	1.846887	3.309119	236.074085	7.296442	38.002647	65.092590	5.359135	5.487999	6.377307	84191.085938	27.731226	0.000000													27.476130	2.698742
2021-08-17 02:30:00	2021-08-16 18:30:00																																	
2021-08-17 03:00:00	2021-08-16 19:00:00							1.249566	1.978583	2.340129	212.274284	8.330438	38.002647	65.092590	6.066807	5.604144	6.381197	84177.460938	25.402216	0.000000													33.816082	2.147317
2021-08-17 03:30:00	2021-08-16 19:30:00																																	
2021-08-17 04:00:00	2021-08-16 20:00:00							0.767829	2.435538	2.553705	197.498009	8.884088	38.002647	65.092590	6.647571	5.750775	6.389493	84172.500000	23.621393	0.000000													39.053431	1.777676
2021-08-17 04:30:00	2021-08-16 20:30:00																																	
2021-08-17 05:00:00	2021-08-16 21:00:00							1.300421	2.465931	2.787815	207.805149	9.197443	38.002647	65.092590	7.021358	5.899227	6.399341	84174.007812	22.196649	0.000000													43.481169	1.512324
2021-08-17 05:30:00	2021-08-16 21:30:00																																	
2021-08-17 06:00:00	2021-08-16 22:00:00							1.079693	2.499190	2.722441	203.365173	9.361108	38.002647	65.092590	7.305042	6.051752	6.410988	84148.085938	21.154321	0.000000													46.854664	1.334308
2021-08-17 06:30:00	2021-08-16 22:30:00																																	
2021-08-17 07:00:00	2021-08-16 23:00:00							-0.567097	2.103100	2.178217	164.909225	8.083826	38.002647	65.092590	7.352001	6.173375	6.420663	84115.062500	20.560480	0.000000													44.571042	1.341741
2021-08-17 07:30:00	2021-08-16 23:30:00																																	
2021-08-17 08:00:00	2021-08-17 00:00:00							-0.059382	3.314904	3.315436	178.973732	7.722437	38.002647	65.092590	7.821681	6.364585	6.438982	84069.132812	19.764032	0.000000													45.681433	1.251686
2021-08-17 08:30:00	2021-08-17 00:30:00																																	
2021-08-17 09:00:00	2021-08-17 01:00:00							0.443038	3.376028	3.404974	187.476242	7.244806	38.002647	65.092590	8.157973	6.556849	6.459109	84056.640625	19.150415	0.000000													45.932354	1.199274
2021-08-17 09:30:00	2021-08-17 01:30:00	11.610000	74.610000	23.310000	129.000000	829.000000	259.000000																											
2021-08-17 10:00:00	2021-08-17 02:00:00							1.405512	4.334567	4.556746	197.965630	6.856592	38.002647	65.092590	8.161469	6.702025	6.475813	84016.570312	18.526178	0.000000													46.503008	1.141236
2021-08-17 10:30:00	2021-08-17 02:30:00																																	
2021-08-17 11:00:00	2021-08-17 03:00:00							1.418996	5.176688	5.367648	195.328972	6.683527	38.002647	65.092590	7.904337	6.787353	6.487283	84017.804688	17.896478	0.000000													47.805408	1.070299
2021-08-17 11:30:00	2021-08-17 03:30:00																																	
2021-08-17 12:00:00	2021-08-17 04:00:00							1.994362	4.562632	4.979467	203.610512	6.531122	38.002647	65.092590	7.936115	6.893929	6.501782	84022.664062	17.310907	0.000000													49.085972	1.006183
2021-08-17 12:30:00	2021-08-17 04:30:00																																	
2021-08-17 13:00:00	2021-08-17 05:00:00							2.059170	3.644942	4.186381	209.463810	6.120874	38.002647	65.092590	8.047413	7.008111	6.518008	84015.617188	16.805109	0.000000													49.268547	0.970963
2021-08-17 13:30:00	2021-08-17 05:30:00																																	
2021-08-17 14:00:00	2021-08-17 06:00:00							1.725923	4.897260	5.192491	199.413795	5.866602	38.002647	65.092590	7.816317	7.060210	6.528458	84035.757812	16.732385	0.000000													48.632802	0.978602
2021-08-17 14:30:00	2021-08-17 06:30:00																																	
2021-08-17 15:00:00	2021-08-17 07:00:00							2.344010	7.274716	7.643028	197.859634	5.249414	38.002647	65.092590	7.418446	7.056628	6.533277	84057.570312	19.802667	0.000000													38.427058	1.422255
2021-08-17 15:30:00	2021-08-17 07:30:00																																	
2021-08-17 16:00:00	2021-08-17 08:00:00							2.697802	6.607788	7.137296	202.209023	2.981592	38.002647	65.092590	7.126590	7.036594	6.536229	84062.320312	22.555902	0.000000													27.671580	1.978076
2021-08-17 16:30:00	2021-08-17 08:30:00																																	
2021-08-17 17:00:00	2021-08-17 09:00:00							2.473487	5.582887	6.106288	203.895645	1.799097	38.002647	65.092590	6.845389	6.993945	6.536502	84074.617188	24.397455	0.000000													22.761611	2.360287
2021-08-17 17:30:00	2021-08-17 09:30:00																																	
2021-08-17 18:00:00	2021-08-17 10:00:00							3.126502	7.035158	7.698601	203.960899	1.300958	38.002647	65.092590	6.425953	6.904799	6.531312	84071.617188	25.934259	0.000435													20.042719	2.677289
2021-08-17 18:30:00	2021-08-17 10:30:00																																	
2021-08-17 19:00:00	2021-08-17 11:00:00							5.018950	6.491442	8.205405	217.709915	2.192499	38.002647	65.092590	6.425323	6.861457	6.530268	84095.820312	26.985193	0.000435													20.083461	2.846822
2021-08-17 19:30:00	2021-08-17 11:30:00																																	
2021-08-17 20:00:00	2021-08-17 12:00:00							4.745597	6.703436	8.213205	215.296017	3.005396	38.002647	65.092590	6.229722	6.786766	6.525409	84056.593750	27.432581	0.000435													20.729889	2.898772
2021-08-17 20:30:00	2021-08-17 12:30:00																																	
2021-08-17 21:00:00	2021-08-17 13:00:00							5.604360	5.697714	7.992045	224.526756	3.666254	38.002647	65.092590	6.321527	6.753054	6.524312	84023.304688	27.674768	0.000435													21.417292	2.914584
2021-08-17 21:30:00	2021-08-17 13:30:00	19.350000	206.370000	50.580000	215.000000	2293.000000	562.000000																											
2021-08-17 22:00:00	2021-08-17 14:00:00							5.626947	4.815992	7.406505	229.440445	4.289606	38.002647	65.092590	6.456085	6.738393	6.524961	84004.625000	27.475275	0.000435													22.640354	2.835980
2021-08-17 22:30:00	2021-08-17 14:30:00																																	
2021-08-17 23:00:00	2021-08-17 15:00:00							5.989566	5.050130	7.834457	229.863934	5.010614	38.002647	65.092590	7.202048	6.847599	6.538898	83966.804688	26.756525	0.000435													24.837124	2.641771
2021-08-17 23:30:00	2021-08-17 15:30:00																																	
2021-08-18 00:00:00	2021-08-17 16:00:00							3.646645	5.277710	6.415002	214.642616	5.721857	39.387234	65.973694	7.349926	6.906298	6.548288	83937.156250	25.721368	0.000435													27.741210	2.389215
2021-08-18 00:30:00	2021-08-17 16:30:00																																	
2021-08-18 01:00:00	2021-08-17 17:00:00							4.887484	4.371182	6.557037	228.191753	6.328546	39.387234	65.973694	7.550866	6.982630	6.560073	83905.046875	24.447046	0.000000													31.210975	2.108334
2021-08-18 01:30:00	2021-08-17 17:30:00																																	
